"CURSO;DISCIPLINA;PERIODO;PRE_REQUISITOS"
"GELT;Cálculo a Várias Variáveis;2;Cálculo a uma Variável,Álgebra Linear I"
"GELT;Álgebra Linear II;2;Álgebra Linear I"
"GELT;Computação;2;"
"GELT;Mecânica Básica;2;Cálculo a uma Variável,Álgebra Linear I"
"GELT;Humanidades e Ciênc. Sociais;2;"
"GELT;Metodologia Científica;2;"
"GELT;Equações DiferenciaisOrdinárias E.D.O;3;Cálculo a várias Variáveis,Álgebra Linear II"
"GELT;Cálculo Vetorial;3;Cálculo a Várias Variáveis"
"GELT;Cálculo Numérico;3;Computação,Cálculo a uma Variável"
"GELT;Mecânica Geral;3;Mecânica Básica,Álgebra Linear II"
"GELT;Eletricidade Básica;3;Cálculo a Varias Variáveis,Mecânica Básica"
"GELT;Estatística;3;Cálculo a Varias Variáveis"
"GELT;Fundamentos de Engenharia de Segurança;3;"
"GELT;Equações Diferenciais Parciais e Séries E.D.P.S;4;Equações DiferenciaisOrdinárias E.D.O"
"GELT;Variáveis Complexas;4;Cálculo a várias variáveis"
"GELT;Física Térmica;4;Mecânica Básica"
"GELT;Resistência de Materiais III;4;Mecânica Geral"
"GELT;Circuitos Elétricos I;4;Eletricidade Básica"
"GELT;Materiais Elétricos;4;Química,Eletricidade Básica"
"GELT;Eletrônica Digital;4;Eletricidade Básica"
"GELT;Ciências do Ambiente;5;Química"
"GELT;Desenho Técnico I;5;Desenho"
"GELT;Ondas;5;Eletricidade Básica,Física térmica,Equações DiferenciaisOrdinárias E.D.O"
"GELT;Fenômenos de Transporte;5;Física Térmica"
"GELT;Circuitos Elétricos II;5;Circuitos Elétricos I"
"GELT;Eletrônica I;5;Circuitos Elétricos I"
"GELT;Sistemas Digitais;5;Eletrônica Digital"
"GELT;Sinais e Sistemas;6;Equações DiferenciaisOrdinárias E.D.O,Variáveis Complexas"
"GELT;Eletromagnetismo I;6;Eletricidade Básica"
"GELT;Controle eServomecanismos I;6;Circuitos Elétricos II"
"GELT;Planejamento da Produção;6;Mínimo 60 créditos"
"GELT;Eletrônica II;6;Circuitos Elétricos II,Eletrônica I"
"GELT;Microprocessadores I;6;Sistemas Digitais"
"GELT;Princípios de Telecomunicações;6;Eletrônica I,Circuitos Elétricos II"
"GELT;Processamento de Sinais I;7;Sinais e sistemas"
"GELT;Eletromagnetismo II;7;Eletromagnetismo I"
"GELT;Eletrônica III;7;Eletrônica II"
"GELT;Medidas elétricas e magnéticas;7;Eletrônica I"
"GELT;Microprocessadores II;7;Microprocessadores I"
"GELT;Controles e Servomecanismos II;7;Controle eServomecanismos I"
"GELT;Tecnologia dos semicondutores;7;Mínimo de 100 créditos"
"GELT;Administração;8;"
"GELT;Conversão de energia I;8;Eletromagnetismo I"
"GELT;Redes I;8;Mínimo de 100 créditos"
"GELT;Eletrônica Industrial;8;Eletrônica III"
